type,statement,prompt,template
verifiable-true,Extensive glaciation could disrupt ocean ecosystems by producing a steep drop in ocean salinity and density.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Extensive glaciation could disrupt ocean ecosystems by producing a steep drop in ocean salinity and density.""",Extensive glaciation could disrupt ocean ecosystems by producing a steep drop in ocean salinity and density.
verifiable-true,"In the chemical equation 6co_{2} + 12h_{2}o + light -> c_{6}h_{12}o_{6} + 6o_{2} + 6h_{2}o, twelve molecules of h_{2}o are produced.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""In the chemical equation 6co_{2} + 12h_{2}o + light -> c_{6}h_{12}o_{6} + 6o_{2} + 6h_{2}o, twelve molecules of h_{2}o are produced.""","In the chemical equation 6co_{2} + 12h_{2}o + light -> c_{6}h_{12}o_{6} + 6o_{2} + 6h_{2}o, twelve molecules of h_{2}o are produced."
verifiable-true,A positive effect of using robots to assemble car parts is that the assembly takes more time.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""A positive effect of using robots to assemble car parts is that the assembly takes more time.""",A positive effect of using robots to assemble car parts is that the assembly takes more time.
verifiable-true,"After four seasons have passed on earth, the moon has completed one revolution around the earth.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""After four seasons have passed on earth, the moon has completed one revolution around the earth.""","After four seasons have passed on earth, the moon has completed one revolution around the earth."
verifiable-true,Convection is a significant source of energy in the earth's interior.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Convection is a significant source of energy in the earth's interior.""",Convection is a significant source of energy in the earth's interior.
verifiable-true,Decomposers and herbivores are classified as consumers.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Decomposers and herbivores are classified as consumers.""",Decomposers and herbivores are classified as consumers.
verifiable-true,Allowing fishing in more rivers would help protect the natural habitats of animals.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Allowing fishing in more rivers would help protect the natural habitats of animals.""",Allowing fishing in more rivers would help protect the natural habitats of animals.
verifiable-true,Mirrors refract light.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Mirrors refract light.""",Mirrors refract light.
verifiable-true,The salt in ocean water comes in part from melting glacial ice.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The salt in ocean water comes in part from melting glacial ice.""",The salt in ocean water comes in part from melting glacial ice.
verifiable-true,One of the long-term effects of deforestation is that more plants used for medicines can be discovered.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""One of the long-term effects of deforestation is that more plants used for medicines can be discovered.""",One of the long-term effects of deforestation is that more plants used for medicines can be discovered.
verifiable-true,Sound waves travel from the sun to the earth.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Sound waves travel from the sun to the earth.""",Sound waves travel from the sun to the earth.
verifiable-true,"In regions where prevailing winds blow from the oceans to the shore, dryer conditions are likely to occur.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""In regions where prevailing winds blow from the oceans to the shore, dryer conditions are likely to occur.""","In regions where prevailing winds blow from the oceans to the shore, dryer conditions are likely to occur."
verifiable-true,The skin helps the body maintain homeostasis by transporting oxygen.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The skin helps the body maintain homeostasis by transporting oxygen.""",The skin helps the body maintain homeostasis by transporting oxygen.
verifiable-true,"When black bears lose their fear of humans and look for food near campsites along the roadside, it is an example of an animal finding a new ecosystem.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""When black bears lose their fear of humans and look for food near campsites along the roadside, it is an example of an animal finding a new ecosystem.""","When black bears lose their fear of humans and look for food near campsites along the roadside, it is an example of an animal finding a new ecosystem."
verifiable-true,Penguins are fierce competitors.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Penguins are fierce competitors.""",Penguins are fierce competitors.
verifiable-true,Membrane-bound structures in a cell indicate that the cell is a prokaryote.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Membrane-bound structures in a cell indicate that the cell is a prokaryote.""",Membrane-bound structures in a cell indicate that the cell is a prokaryote.
verifiable-true,Heat energy from the sun is transferred to earth primarily by convection.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Heat energy from the sun is transferred to earth primarily by convection.""",Heat energy from the sun is transferred to earth primarily by convection.
verifiable-true,Human cells are not capable of building larger molecules from sugars.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Human cells are not capable of building larger molecules from sugars.""",Human cells are not capable of building larger molecules from sugars.
verifiable-true,The movement of crustal plates is best described as a trend toward increased crust movement over time.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The movement of crustal plates is best described as a trend toward increased crust movement over time.""",The movement of crustal plates is best described as a trend toward increased crust movement over time.
verifiable-true,Oceanic crust generally tends to subduct under continental crust when plates collide because the oceanic crust is thicker than the continental crust.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Oceanic crust generally tends to subduct under continental crust when plates collide because the oceanic crust is thicker than the continental crust.""",Oceanic crust generally tends to subduct under continental crust when plates collide because the oceanic crust is thicker than the continental crust.
verifiable-true,Burning tree branches uses the mechanical energy of the branches.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Burning tree branches uses the mechanical energy of the branches.""",Burning tree branches uses the mechanical energy of the branches.
verifiable-true,"A ship carrying heavier cargo takes more time to come to a stop than an identical ship carrying lighter cargo, if both ships are traveling at the same speed, because of its greater acceleration.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""A ship carrying heavier cargo takes more time to come to a stop than an identical ship carrying lighter cargo, if both ships are traveling at the same speed, because of its greater acceleration.""","A ship carrying heavier cargo takes more time to come to a stop than an identical ship carrying lighter cargo, if both ships are traveling at the same speed, because of its greater acceleration."
verifiable-true,The use of television has improved safety by using larger screens with better color.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The use of television has improved safety by using larger screens with better color.""",The use of television has improved safety by using larger screens with better color.
verifiable-true,Water retains more energy from the sun than sand.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Water retains more energy from the sun than sand.""",Water retains more energy from the sun than sand.
verifiable-true,An adaptation that allows tadpoles to go through a shortened period of metamorphosis would be useful when tadpoles need to blend in with their surroundings.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""An adaptation that allows tadpoles to go through a shortened period of metamorphosis would be useful when tadpoles need to blend in with their surroundings.""",An adaptation that allows tadpoles to go through a shortened period of metamorphosis would be useful when tadpoles need to blend in with their surroundings.
verifiable-true,Powdered tea becomes a solution when mixed with water because the tea settles to the bottom of the container.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Powdered tea becomes a solution when mixed with water because the tea settles to the bottom of the container.""",Powdered tea becomes a solution when mixed with water because the tea settles to the bottom of the container.
verifiable-true,All cells release water.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""All cells release water.""",All cells release water.
verifiable-true,"If a chemical cannot be separated into other chemicals, then it is best described as a compound.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""If a chemical cannot be separated into other chemicals, then it is best described as a compound.""","If a chemical cannot be separated into other chemicals, then it is best described as a compound."
verifiable-true,Heat is made of atoms.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Heat is made of atoms.""",Heat is made of atoms.
verifiable-true,Light waves that cross from an air medium to a water medium will be focused into a straight line.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Light waves that cross from an air medium to a water medium will be focused into a straight line.""",Light waves that cross from an air medium to a water medium will be focused into a straight line.
verifiable-true,The sun and the moon give off their own light.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The sun and the moon give off their own light.""",The sun and the moon give off their own light.
verifiable-true,Transform faults most likely caused the formation of the mount st. helens volcano.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Transform faults most likely caused the formation of the mount st. helens volcano.""",Transform faults most likely caused the formation of the mount st. helens volcano.
verifiable-true,The depth of soil affects the type of crop a farmer grows more than the amount of rainfall.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The depth of soil affects the type of crop a farmer grows more than the amount of rainfall.""",The depth of soil affects the type of crop a farmer grows more than the amount of rainfall.
verifiable-true,Infectious diseases can be passed from organism to organism genetically from parents.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Infectious diseases can be passed from organism to organism genetically from parents.""",Infectious diseases can be passed from organism to organism genetically from parents.
verifiable-true,Nitrogen (n_{2}) is a compound.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Nitrogen (n_{2}) is a compound.""",Nitrogen (n_{2}) is a compound.
verifiable-true,Zinc is a mineral that helps prevent cavities in teeth.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Zinc is a mineral that helps prevent cavities in teeth.""",Zinc is a mineral that helps prevent cavities in teeth.
verifiable-true,All matter takes up space and has a definite shape.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""All matter takes up space and has a definite shape.""",All matter takes up space and has a definite shape.
verifiable-true,Most evaporation on earth happens in the oceans because fewer clouds block sunlight over the ocean.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Most evaporation on earth happens in the oceans because fewer clouds block sunlight over the ocean.""",Most evaporation on earth happens in the oceans because fewer clouds block sunlight over the ocean.
verifiable-true,"When a ball is thrown downward onto a concrete floor and bounces upward, the pull of gravity supplies the upward force that makes the ball bounce.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""When a ball is thrown downward onto a concrete floor and bounces upward, the pull of gravity supplies the upward force that makes the ball bounce.""","When a ball is thrown downward onto a concrete floor and bounces upward, the pull of gravity supplies the upward force that makes the ball bounce."
verifiable-true,"The sun appears to be the largest star, even though there are stars that are much larger than the sun, because the sun is younger than most other stars.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The sun appears to be the largest star, even though there are stars that are much larger than the sun, because the sun is younger than most other stars.""","The sun appears to be the largest star, even though there are stars that are much larger than the sun, because the sun is younger than most other stars."
verifiable-true,"When cold air is at the tops of mountains, the air is considered to be less dense than warmer air.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""When cold air is at the tops of mountains, the air is considered to be less dense than warmer air.""","When cold air is at the tops of mountains, the air is considered to be less dense than warmer air."
verifiable-true,A bulldozer pushing soil is an example of physical weathering.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""A bulldozer pushing soil is an example of physical weathering.""",A bulldozer pushing soil is an example of physical weathering.
verifiable-true,"When a person starts to jog, motion changes to chemical energy.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""When a person starts to jog, motion changes to chemical energy.""","When a person starts to jog, motion changes to chemical energy."
verifiable-true,Sound waves and ocean waves are similar in that both are longitudinal waves.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Sound waves and ocean waves are similar in that both are longitudinal waves.""",Sound waves and ocean waves are similar in that both are longitudinal waves.
verifiable-true,The formation of the ozone layer helped protect marine organisms as they evolved.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The formation of the ozone layer helped protect marine organisms as they evolved.""",The formation of the ozone layer helped protect marine organisms as they evolved.
verifiable-true,A lizard is an invertebrate.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""A lizard is an invertebrate.""",A lizard is an invertebrate.
verifiable-true,All cells combine with other cells to form tissues.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""All cells combine with other cells to form tissues.""",All cells combine with other cells to form tissues.
